	Date	Sentence	SentenceCtxt	SentenceId	TargetExpression	animacy	humanness
51	1896	This steamer was owned by some Montreal and Hawkesbury mer chants ; she had two heavy marine ***engines*** , side levers that had been imported by the Hon.	"Previous to 1833, the steamer "" Union "" plied on the route between Hawkesbury and Ottawa ; this boat was built in the year 181 9 and was commanded by Captain Grant ; Thomas Johnson, afterwards M.P., an extensive merchant at Vankleek Hill, was the purser. [SEP] This steamer was owned by some Montreal and Hawkesbury mer chants ; she had two heavy marine ***engines*** , side levers that had been imported by the Hon. [SEP] John Molson, grandfather to J. H. R. Molson of this city (Montreal)."	003617125_01_35_20	engines	0.0	0.0
52	1889	These ***machines*** are specially designed for use in countries where there is exceptional difficulty or expense in transporting heavy weights.	425 Robert Broadbent & Sons, Phœnix Iron Works, Stalybridge. [SEP] These ***machines*** are specially designed for use in countries where there is exceptional difficulty or expense in transporting heavy weights. [SEP] They are so constructed that they are readily put together by unskilled labour on arrival at their destination, and, being built up of steel plates and angle-iron, give the maximum of strength with the minimum of weight.	002207645_01_473_2	machines	0.0	0.0
53	1882	Arguments, followed by the story of the Kickapoo Indian who saw a ***locomotive*** approach ing upon the plains, and thinking it was a superior breed of buffalo, determined to capture it, so that he could take the first prize at the Kickapoo agricultural fair.	Let this serve to illustrate the point that our political enemies have deceived us with promises to reduce the debt, to institute reforms, &c. &c, uone of which they have kept, and now we must have the government separated from them by such a divorce as will be decreed to morrow, &c. &c. 3. [SEP] Arguments, followed by the story of the Kickapoo Indian who saw a ***locomotive*** approach ing upon the plains, and thinking it was a superior breed of buffalo, determined to capture it, so that he could take the first prize at the Kickapoo agricultural fair. [SEP] He tied his lasso to his waist and threw the other end over the smoke-stack.	001437857_01_36_29	locomotive	0.0	0.0
54	1897	He lost one arm by the premature discharge of a Fourth-of-July cannon, and within three months he got the other pulled out by a carding- ***machine*** .	And again misfortune overtook the unhappy youth. [SEP] He lost one arm by the premature discharge of a Fourth-of-July cannon, and within three months he got the other pulled out by a carding- ***machine*** . [SEP] Aurelia's heart was almost crushed by these latter calamities.	001220010_01_174_5	machine	0.0	0.0
55	1896	A moment later the shrill shriek of a ***locomotive*** pierced the air.	He next heard the clock in the adjoining apart ment chime the hour of nine. [SEP] A moment later the shrill shriek of a ***locomotive*** pierced the air. [SEP] It was the train departing for Calcutta.	002510322_01_308_11	locomotive	1.0	1.0
56	1878	Having seen the works, and received a curious and in teresting collection of copper ore, as a remembrance of our visit, we started in a little car, lined with crimson cloth, and drawn by a ***locomotive*** , to visit the various coal mines.	Our afternoon, spent amid smoke, and heat, and dirt, and half-naked work men, manipulating with dexterous skill the glowing streams of molten ore, was a great contrast to our morning ramble. [SEP] Having seen the works, and received a curious and in teresting collection of copper ore, as a remembrance of our visit, we started in a little car, lined with crimson cloth, and drawn by a ***locomotive*** , to visit the various coal mines. [SEP] First we went through the park, and then along a valley near the sea, full of wild flowers and ferns, and trees festooned with 'copigue,' the Chilian name for a creeper which is a speciality of this country, and which imparts a character of its own to the landscape during the month of	000456592_01_193_11	locomotive	0.0	0.0
57	1897	Luke FitzHenry was on the bridge from eight o'clock till midnight, motionless at his post ‚Äî a mere navigating ***machine*** , respected and feared by all who worked with him, understood of none.	The decks were deserted, for many of these people were returning to England after long years in India, and the first chill northern breeze they met made them shiver while it delighted them. [SEP] Luke FitzHenry was on the bridge from eight o'clock till midnight, motionless at his post ‚Äî a mere navigating ***machine*** , respected and feared by all who worked with him, understood of none. [SEP] When midnight came he exchanged a few words with the first officer, and together they superintended the shaking out of the foresails before the watch went below.	002466675_01_333_4	machine	1.0	1.0
58	1855	Their lordships and honourable members pro ceeded by rail to Southampton, and were de layed two hours by the breaking down of an ***engine*** .	It was a part of the pro gramme of this brilliant day that her majesty should be attended in passing through the fleet by the members of both houses of parliament. [SEP] Their lordships and honourable members pro ceeded by rail to Southampton, and were de layed two hours by the breaking down of an ***engine*** . [SEP] When they arrived at Southampton Water there was but one tender provided for so large a number of gentlemen.	002666158_02_896_15	engine	0.0	0.0
59	1894	"He led his ***machine*** to the side of thi_ footpath. """	"THE REDHILL SfSTERHOOD iu repress the thought how well he would look at the head of a troop of cavalry, giving the order to charge the enemy. [SEP] He led his ***machine*** to the side of thi_ footpath. "" [SEP] You have the advantage of me,"" said Loveday ; "" I haven't the remotest notion who you are."""	002924135_01_123_1	machine	0.0	0.0
60	1894	The drawing shows the ***machine*** ready to begin its forward stroke.	201. communicate crosswise with the ends of the valve-chest; that is to say, D is connected with the end R', and D' with the end R. Bearing these details of construction in mind, the action of the drill can be followed. [SEP] The drawing shows the ***machine*** ready to begin its forward stroke. [SEP] The rear end of the valve-chest is con nected with D, which is closed by the piston, whdst the front R is open through D' and the annular recess S to the port F and the atmosphere.	001275772_01_222_5	machine	0.0	0.0
61	1885	I am not a ***machine*** ; I must use my judgment daily, and that on no small scale, over many hills and over many cattle.	Forester — I say that the work is hard, but grand. [SEP] I am not a ***machine*** ; I must use my judgment daily, and that on no small scale, over many hills and over many cattle. [SEP] I am healthy, I am comfortable, and happy as most men.	001169479_01_374_20	machine	1.0	0.0
